Text,Domain,Predicted domain,Intent,Predicted intent,Slots,Predicted slots
i want to know about the brexit,news,news,news_query,news_query,O O O O O B-news_topic I-news_topic,O O O O O B-news_topic B-news_topic
turn my lights down to a lower level of brightness,iot,iot,iot_hue_lightdim,iot_hue_lightdim,O O O O O O O O O O,O O O O B-change_amount O O O O O
please play only music of pop mix,play,play,play_music,play_music,O O O O O B-music_genre I-music_genre,O O O O O B-music_genre O
please play only sad song in music player,play,play,play_music,play_music,O O O B-music_descriptor O O B-device_type I-device_type,O O O B-song_name I-song_name O O I-device_type
is it twentieth march today,datetime,datetime,datetime_query,datetime_query,O O B-date I-date I-date,O O B-date I-date B-date
please play only are rehman's songs,play,play,play_music,play_music,O O O O B-artist_name O,O O O O I-artist_name O
s.,play,qa,play_music,qa_definition,O,O
please put all the lights,iot,iot,iot_hue_lightup,iot_hue_lightup,O O B-device_type I-device_type I-device_type,O O O O O
convert eight thirty from gtm four to g. m. t. five thirty,datetime,datetime,datetime_convert,datetime_convert,O B-time I-time O B-time_zone I-time_zone O B-time_zone I-time_zone I-time_zone I-time_zone I-time_zone,O B-time I-time O B-time_zone B-time O B-time_zone I-time_zone I-time_zone B-time I-time
weather at the moment,weather,weather,weather_query,weather_query,O O B-time I-time,O O O O
what time should i go for a hike,weather,transport,weather_query,transport_query,O O O O O O O B-event_name,O O O O O O O O
is this song ed sheeran,music,music,music_query,music_query,O O O B-artist_name I-artist_name,O O O B-artist_name I-person
i want reggae,play,music,play_music,music_likeness,O O B-music_genre,O O B-music_genre
set alarm at nine am on next sunday,alarm,alarm,alarm_set,alarm_set,O O O B-time I-time O B-date I-date,O O O B-time I-time O O I-date
i will require full cover jacket if it is too stormy in evening,weather,weather,weather_query,weather_query,O O O B-weather_descriptor I-weather_descriptor I-weather_descriptor O O O B-weather_descriptor I-weather_descriptor O B-timeofday,O O O B-weather_descriptor I-weather_descriptor B-weather_descriptor O O O O B-weather_descriptor O B-timeofday
i will need warm socks in winter in morning,weather,weather,weather_query,weather_query,O O O B-weather_descriptor I-weather_descriptor O B-weather_descriptor O B-timeofday,O O O B-weather_descriptor B-weather_descriptor O B-timeofday O B-timeofday
can you change the volume at,audio,audio,audio_volume_other,audio_volume_up,O O O O O O,O O O O O O
check the dish price and all,takeaway,cooking,takeaway_query,cooking_recipe,O O B-food_type O O O,O O O O O O
what's on the radio right now,music,play,music_query,play_radio,O O O O O O,O O O O O O
play previous song,play,play,play_music,play_music,O B-music_descriptor B-song_name,O O O
play for me the music by the beatles,play,play,play_music,play_music,O O O O O O B-artist_name I-artist_name,O O O O O O O B-artist_name
play my playlist party songs,play,play,play_music,play_music,O O O B-playlist_name I-playlist_name,O O O B-playlist_name O
begin vacuuming,iot,iot,iot_cleaning,iot_cleaning,O B-device_type,O O
display the seven day forecast for this week,weather,weather,weather_query,weather_query,O B-weather_descriptor I-weather_descriptor I-weather_descriptor I-weather_descriptor O B-date I-date,O O B-time I-date O O B-date I-date
shall i change my car tires to snow tires soon,weather,weather,weather_query,weather_query,O O O O O O O B-weather_descriptor I-weather_descriptor O,O O O O O O O B-weather_descriptor O O
a quarter to two,datetime,datetime,datetime_query,datetime_query,B-time I-time I-time I-time,O O I-time I-time
how's the weather in the capital city,weather,weather,weather_query,weather_query,O O O O B-place_name I-place_name I-place_name,O O O O B-place_name B-place_name I-place_name
current time in cpt,datetime,datetime,datetime_query,datetime_query,O O O B-place_name,O O O B-time_zone
set the default audio setting,audio,audio,audio_volume_other,audio_volume_up,O O O O O,O O O O O
comfort my ears with arijit singh,play,general,play_music,general_quirky,B-song_name I-song_name I-song_name O B-artist_name I-artist_name,O O O O B-person I-person
decrease twenty percent,audio,qa,audio_volume_down,qa_maths,O B-change_amount I-change_amount,O O O
hows mysore climate today,weather,weather,weather_query,weather_query,O B-weather_descriptor I-weather_descriptor B-date,O B-place_name O B-date
replay the musics,music,play,music_settings,play_music,B-player_setting O O,O O O
what is the latest update on the new york bridge proposal,news,news,news_query,news_query,O O O O O O O B-news_topic I-news_topic I-news_topic I-news_topic,O O O O O O O B-news_topic I-place_name I-news_topic I-news_topic
play some good song from my play list,play,play,play_music,play_music,O O B-music_descriptor I-music_descriptor O O O O,O O O O O O O O
say a good joke for me right now,general,general,general_joke,general_joke,O O B-joke_type O O O O O,O O O O O O O O
is the city cheaper or costlier to live,weather,general,weather_query,general_quirky,O O B-place_name O O O O O,O O O O O O O O
how safe is the city regarding law and order,weather,general,weather_query,general_quirky,O O O O O O O O O,O O O O O O O I-media_type I-place_name
did i set an alarm to have tablets in the noon,alarm,alarm,alarm_query,alarm_query,O O O O O B-event_name I-event_name I-event_name O O B-timeofday,O O O O O O O O O O B-timeofday
show me the latest news from the un,news,news,news_query,news_query,O O O O O O O B-media_type,O O O O O O O B-place_name
who is this on the radio,music,play,music_query,play_radio,O O O O O O,O O O O O O
will it be a sticky night,weather,weather,weather_query,weather_query,O O O O B-weather_descriptor B-timeofday,O O O O B-weather_descriptor O
add selected song,play,music,play_music,music_likeness,O O O,O O O
did i leave the light on in the garage,iot,iot,iot_hue_lightoff,weather_query,O O O O O O O O B-house_place,O O O O O O O O B-house_place
how many minutes do i need to wait to pick up my food from china on the go,takeaway,calendar,takeaway_query,calendar_query,O O O O O O O O O O O O O O B-business_name I-business_name I-business_name I-business_name,O O O O O O O O O O O O O O O O O O
should i open the sun roof,weather,weather,weather_query,weather_query,O O B-weather_descriptor I-weather_descriptor I-weather_descriptor I-weather_descriptor,O O O O B-weather_descriptor I-weather_descriptor
hey order two wings with french fries from the chinese food store,takeaway,takeaway,takeaway_order,takeaway_order,O O O B-food_type I-food_type I-food_type I-food_type O O B-business_name I-business_name I-business_name,O O O I-food_type I-food_type B-food_type I-food_type O O B-business_name I-business_name I-business_name
clean the floor,iot,iot,iot_cleaning,iot_cleaning,O O B-house_place,O O O
hey tell me more about my meetings today,general,calendar,general_quirky,calendar_query,O O O O O O B-event_name B-date,O O O O O O B-event_name B-date
when is my friend's birthday coming up,general,calendar,general_quirky,calendar_query,O O O B-relation B-event_name O O,O O O B-relation B-event_name O O
i hate how long the traffic jams get,general,transport,general_quirky,transport_traffic,O O O B-time O O O O,O O O O O O O O
what's shakin bacon,general,qa,general_quirky,qa_definition,O B-food_type I-food_type,O B-definition_word I-definition_word
do you think i should go to the theater today,general,general,general_quirky,general_quirky,O O O O O O O O B-place_name B-date,O O O O O O O O O B-date
please tell me the score of the game,general,general,general_quirky,qa_factoid,O O O O O O O O,O O O O O O O O
i bought pre season baseball tickets,general,general,general_quirky,general_quirky,O O B-event_name I-event_name I-event_name O,O O O O O O
i need to buy gas,general,iot,general_quirky,general_quirky,O O O O O,O O O O O
tell me some best tourist places to visit in america,recommendation,recommendation,recommendation_locations,recommendation_locations,O O O B-place_name I-place_name I-place_name O O O B-place_name,O O O O O O O O O B-place_name
what's my upcoming week look like,calendar,calendar,calendar_query,calendar_query,O O B-date I-date O O,O O O O O O
veganism,general,cooking,general_quirky,cooking_recipe,O,O
plant based news,news,news,news_query,news_query,B-news_topic I-news_topic O,B-news_topic O O
what is a good iranian film from two thousand and sixteen,recommendation,general,recommendation_movies,general_quirky,O O O O O O O B-date I-date I-date I-date,O O O O B-place_name O O B-date I-date I-date I-date
hey what has been happening interesting in sports lately,general,news,general_quirky,news_query,O O O O O O O O O,O O O O O O O B-news_topic O
what features do you have planned to release in the future,general,recommendation,general_quirky,recommendation_events,O O O O O O O O O O O,O O O O O O O O O O O
technology,general,news,general_quirky,news_query,O,O
today i had a meeting with george,general,calendar,general_quirky,calendar_set,B-date O O O B-event_name O B-person,B-date O O O B-event_name O B-person
please know that today i had a meeting with george,general,calendar,general_quirky,calendar_set,O O O O O O O B-event_name O B-person,O O O B-date O O O B-event_name O B-person
have you heard any good music lately,general,music,general_quirky,music_query,O O O O O O O,O O O O O O O
is there a groomer in town for cats only,general,recommendation,general_quirky,recommendation_events,O O O O O O O O O,O O O O O O O O O
trump,general,news,general_quirky,news_query,O,B-news_topic
the weather was bad today,general,weather,general_quirky,weather_query,O O O O B-date,O O O O B-date
baseball scores,general,news,general_quirky,news_query,O O,B-news_topic O
web searches,general,qa,general_quirky,qa_factoid,O O,O O
mark today as the start of my diet,calendar,calendar,calendar_set,calendar_set,O B-date O B-event_name I-event_name I-event_name I-event_name I-event_name,O B-date O O O O O O
is soft cheese better than hard,cooking,cooking,cooking_recipe,cooking_recipe,O B-food_type I-food_type O O O,O B-food_type B-food_type O O B-food_type
play videos,general,play,general_quirky,play_music,O O,O O
math,general,qa,general_quirky,qa_maths,O,O
start a gossip,general,news,general_quirky,news_query,O O O,O O O
when i came back from this place,general,general,general_quirky,general_quirky,O O O O O B-place_name I-place_name,O O O O O O O
health,general,news,general_quirky,news_query,O,O
latest movies in theaters,general,recommendation,general_quirky,recommendation_movies,O O O O,O O O B-place_name
are you working for the n. s. a.,general,news,general_quirky,news_query,O O O O O O O O,O O O O O I-media_type I-media_type I-media_type
what is the top searches in google today,general,email,general_quirky,qa_factoid,O O O O O O O B-date,O O O O O O O B-date
sticking to diet,general,cooking,general_quirky,cooking_recipe,O O O,O O O
vacation spots,general,recommendation,general_quirky,general_quirky,O O,O O
elections in up,news,news,news_query,news_query,O O O,O O B-news_topic
friend updates,general,news,general_quirky,news_query,O O,B-relation O
what do you know about fringe in edinburgh next year,general,recommendation,general_quirky,recommendation_events,O O O O O B-event_name O B-place_name B-date I-date,O O O O O B-place_name O B-place_name B-date I-date
add meeting reminder for sunday with my parents in law,calendar,calendar,calendar_set,calendar_set,O B-event_name O O B-date O O B-relation I-relation I-relation,O B-event_name O O B-date O O B-relation I-event_name I-event_name
set first week of june as holiday in my calendar,calendar,calendar,calendar_set,calendar_set,O B-time I-time I-time I-time O B-event_name O O O,O B-date I-date I-date I-date O B-event_name O O O
set meeting with joanna on saturday four p. m.,calendar,calendar,calendar_set,calendar_set,O O O B-person O B-date B-time I-time I-time,O B-event_name O B-person O B-date B-time I-time I-time
show me my meetings this friday,calendar,calendar,calendar_query,calendar_query,O O O O B-date I-date,O O O B-event_name O B-date
remind me my mom's birthday a week before,calendar,calendar,calendar_set,calendar_set,O O O B-relation B-event_name B-time I-time I-time,O O O B-relation B-event_name O I-date O
olly there's a good band playing tonight at nine at jazz bar i want to go,calendar,calendar,calendar_set,calendar_set,O O O O B-event_name I-event_name B-timeofday B-time I-time O B-place_name I-place_name O O O O,O O O O B-event_name I-event_name B-timeofday O B-time O B-place_name I-place_name O O O O
schedule a meeting with the accounting department on two thirty p. m. on friday,calendar,calendar,calendar_set,calendar_set,O O B-event_name O O B-business_name I-business_name O B-time I-time I-time I-time O B-date,O O B-event_name O O B-event_name I-event_name O B-time I-time I-time I-time O B-date
are there morning shows available,calendar,play,calendar_query,play_radio,O O B-timeofday B-event_name O,O O O O O
can you give me the movie schedule,calendar,recommendation,calendar_query,recommendation_events,O O O O O B-event_name O,O O O O O O O
set a reminder up next month to get my oil changed,calendar,calendar,calendar_set,calendar_set,O O O O B-date I-date O O O B-event_name I-event_name,O O O O B-date I-date O O O O O
what is happening after one and before three p. m.,calendar,calendar,calendar_query,calendar_query,O O O B-time I-time O B-time I-time I-time I-time,O O O B-time I-time I-time I-time I-time I-time I-time
set reminder to print the documents on tuesday morning,calendar,calendar,calendar_set,calendar_set,O O O B-event_name I-event_name I-event_name O B-date B-timeofday,O O O B-event_name O I-event_name O B-date B-timeofday
remind me to take my medicine at nine am,calendar,calendar,calendar_set,calendar_set,O O O O O B-event_name O B-time I-time,O O O B-event_name I-event_name I-event_name O B-time I-time
set reminder for noon to get lunch with boss,calendar,calendar,calendar_set,calendar_set,O O O B-timeofday O O B-event_name I-event_name I-event_name,O O O B-timeofday O O B-meal_type O B-relation
remind me about my meeting an hour before it begins,calendar,calendar,calendar_set,calendar_set,O O O O B-event_name B-time I-time O O O,O O O O B-event_name O O O O O
can i know what i have to do the next saturday at six p. m.,calendar,calendar,calendar_set,calendar_query,O O O O O O O O O O B-date O B-time I-time I-time,O O O O O O O O O O B-date O B-time I-time I-time
can you check the facts on this issue,calendar,general,calendar_query,general_quirky,O O O O O O O O,O O O O O O O O
give me to do list,calendar,lists,calendar_query,lists_query,O O O O O,O O B-list_name I-list_name O
remind me to start getting ready by five p. m. please,calendar,calendar,calendar_set,calendar_set,O O O O B-event_name I-event_name O B-time I-time I-time O,O O O O O B-event_name B-time B-time I-time I-time O
schedule a lunch meeting with brent on wednesday at noon,calendar,calendar,calendar_set,calendar_set,O O B-event_name I-event_name O B-person O B-date O B-timeofday,O O B-meal_type I-event_name O B-person O B-date O B-timeofday
give me a reminder twenty four hours before my friday meeting with edg,calendar,calendar,calendar_set,calendar_set,O O O O B-time I-time I-time I-time O B-date B-event_name O B-person,O O O O B-date I-time I-time O O B-date B-event_name O B-person
search my calendar for my next event and notify me before it occurs,calendar,calendar,calendar_set,calendar_set,O O O O O O O O O O B-time O O,O O O O O O O O O O O O O
remind me the day before my car is due,calendar,calendar,calendar_set,calendar_set,O O O B-date I-date O B-event_name O O,O O O B-date O O B-event_name I-event_name I-event_name
will there any events downtown this weekend,calendar,recommendation,calendar_query,recommendation_events,O O O O B-place_name B-date I-date,O O O O B-place_name B-date I-date
set a reminder to notify me one hour before lunch meeting,calendar,calendar,calendar_set,calendar_set,O O O O O O O O O B-event_name I-event_name,O O O O O O B-time I-time O B-meal_type B-event_name
for every odd numbered sunday set a reminder for,calendar,calendar,calendar_set,calendar_set,O O B-general_frequency I-general_frequency I-general_frequency O O O O,O B-general_frequency I-date I-date I-general_frequency O O O O
can you give me the details of upcoming annual function on twenty sixth march,general,calendar,general_quirky,calendar_query,O O O O O O O O B-general_frequency B-event_name O B-date I-date I-date,O O O O O O O O B-event_name B-event_name O B-date I-date I-date
wake me at six am thursday so i have time for the meeting,calendar,alarm,calendar_set,alarm_set,O O O B-time I-time B-date O O O O O O B-event_name,O O O B-time I-time B-date O O O O O O B-event_name
remind me the meeting with allen on fifteenth march,calendar,calendar,calendar_set,calendar_set,O O O B-event_name O B-person O B-time I-time,O O O B-event_name O B-person O B-date I-date
set a notification for three two and one hours before next week's english final,calendar,calendar,calendar_set,calendar_set,O O O O O O O O O O B-date I-date B-event_name I-event_name,O O O O B-time I-time I-time I-time I-time O B-date I-date B-event_name I-event_name
can you remind me to take the garbage out on tuesday,calendar,calendar,calendar_set,calendar_set,O O O O O O O B-event_name I-event_name O B-date,O O O O O B-event_name I-event_name I-event_name I-event_name O B-date
where is the venue in which the marriage of tom is going to take place,calendar,calendar,calendar_query,calendar_query,O O O O O O O B-event_name O O O O O O O,O O O O O O B-event_name B-event_name I-event_name B-person O O O O O
please remind me to call mom in half an hour,calendar,calendar,calendar_set,calendar_set,O O O O B-event_name B-relation B-time I-time I-time I-time,O O O O B-event_name B-relation O B-time I-time I-time
remind me to send email to boss after one hour,calendar,calendar,calendar_set,calendar_set,O O O O O O B-relation O O O,O O O O B-event_name O B-relation O B-time I-time
remind me of rita's birthday twenty four hours in advance,calendar,calendar,calendar_set,calendar_set,O O O B-person B-event_name B-time I-time I-time I-time I-time,O O O B-person B-event_name B-date I-time I-time O O
remind me about my anniversary in one day advance,calendar,calendar,calendar_set,calendar_set,O O O O B-event_name B-date I-date I-date I-date,O O O O B-event_name O B-date I-date O
block one hour from ten tomorrow morning,calendar,calendar,calendar_set,calendar_set,O B-time I-time O B-time B-date B-timeofday,O B-time I-time I-time I-time B-date B-timeofday
i am unavailable from four to six in the evening tomorrow mark my calendar,calendar,calendar,calendar_set,calendar_set,O O O O B-time O B-time O O B-timeofday B-date O O O,O O O O B-time O I-time O O B-timeofday B-date O O O
schedule a one hour appointment for saturday,calendar,calendar,calendar_set,calendar_set,O O B-time I-time O O B-date,O O B-time I-time B-event_name O B-date
please clear my calendar,calendar,calendar,calendar_remove,calendar_remove,O B-time O O,O O O O
what's for today,calendar,general,calendar_query,general_quirky,O O B-date,O O B-date
just let me know next weeks weather in california,email,weather,email_query,weather_query,O O O O B-time I-time O O B-place_name,O O O O B-date I-date O O B-place_name
remind me to check the stew at six o'clock,calendar,calendar,calendar_set,calendar_set,O O O B-event_name I-event_name I-event_name O B-time O,O O O O O O O B-time O
please show today meeting with clients,calendar,calendar,calendar_query,calendar_query,O O B-date O O B-relation,O O B-date B-event_name O B-relation
what is on the agenda for the four p. m. meeting with joe,calendar,calendar,calendar_query,calendar_query,O O O O O O O B-time I-time I-time O O B-person,O O O O O O O B-time I-time I-time B-event_name O B-person
how much mehta willing to invest in my company in meeting which held today at five hundred and twenty p. m.,calendar,calendar,calendar_query,calendar_query,O O B-person O O O O O O O B-event_name O O B-date O B-time I-time I-time I-time I-time I-time,O O O O O O O O O O O O O B-date O B-time I-time I-time I-time I-time I-time
thirteenth june is a day of election result please set it,calendar,datetime,calendar_set,datetime_query,B-date I-date O O O O B-event_name I-event_name O O O,B-date I-date O O O O B-news_topic O O O O
please add my pay days,calendar,calendar,calendar_set,calendar_set,O O O B-event_name I-event_name,O O O O O
i want a meeting till three o'clock,calendar,calendar,calendar_set,calendar_set,O O O B-event_name O B-time I-time,O O O B-event_name O B-time O
remind me tonight to pick up my dry cleaning at eight p. m.,calendar,calendar,calendar_set,calendar_set,O O O O B-event_name I-event_name I-event_name I-event_name I-event_name O B-time I-time I-time,O O B-timeofday O B-event_name I-event_name I-event_name I-event_name I-event_name O B-time I-time I-time
remind me about the meeting tomorrow one hour before,calendar,calendar,calendar_set,calendar_set,O O O O B-event_name B-date O O O,O O O O B-event_name B-date B-time I-time O
plan for tomorrow,calendar,calendar,calendar_query,calendar_set,O O B-date,O O B-date
what is the plan today,calendar,calendar,calendar_query,calendar_query,O O O O O,O O O O B-date
please set a meeting to discuss terrorism with fred on the next available meeting day,calendar,calendar,calendar_set,calendar_set,O O O B-event_name O B-event_name I-event_name O B-person O O B-date I-date O O,O O O B-event_name O O B-event_name O B-person O O O O B-event_name O
remind me when i am at the library to get a new library card,calendar,calendar,calendar_set,calendar_set,O O O O O O O B-place_name O B-event_name I-event_name I-event_name I-event_name I-event_name,O O O O O O O O O O O O B-event_name I-event_name
cancel all my appointments after three p. m. today and inform me the details,calendar,calendar,calendar_remove,calendar_remove,O O O B-event_name O B-time I-time I-time B-date O O O O O,O O O B-event_name B-time I-time I-time I-time B-date O O O O O
in my calendar delete all of my golf events for the current month,calendar,calendar,calendar_remove,calendar_remove,O O O O O O O B-event_name I-event_name O O O B-date,O O O O O O O B-event_name O O O O O
do i have anything planned for the twenty first,calendar,calendar,calendar_query,calendar_query,O O O O O O O B-date I-date,O O O O O O B-date B-date I-date
hey cancel all my other meetings and calls for second march as it is jim's birthday tag it as an event in your calendar,calendar,calendar,calendar_set,calendar_set,O O O O O O O O O B-date I-date O O O B-person B-event_name O O O O O O O O,O O O O O B-event_name O O O B-date I-date O O O B-person B-event_name O O O O O O O O
hey send a meeting invite to mr. ross for this friday's meeting and block my calendar for friday afternoon,calendar,calendar,calendar_set,calendar_set,O O O B-event_name O O B-person I-person O B-date I-date O O O O O O B-date I-date,O O O B-event_name O O B-person I-person O O I-date B-event_name O O O O O B-date B-timeofday
add practice to calendar on feb four at king's park at two p. m.,calendar,calendar,calendar_set,calendar_set,O O O O O B-date I-date O B-place_name I-place_name O B-time I-time I-time,O B-event_name O O O B-date I-date O B-place_name I-place_name O B-time I-time I-time
please add practice on feb four at king's park at two p. m.,calendar,calendar,calendar_set,calendar_set,O O O O B-date I-date O B-place_name I-place_name O B-time I-time I-time,O O B-event_name O B-date I-date O B-place_name I-place_name O B-time I-time I-time
add shopping to my calendar for tomorrow,calendar,calendar,calendar_set,calendar_set,O O O O O O B-date,O B-event_name O O O O B-date
remind me i take mom to the hairdresser's thursday at one thousand one hundred am,calendar,calendar,calendar_set,calendar_set,O O O O B-relation O O B-relation B-date O B-time I-time I-time I-time I-time,O O O O B-relation O O B-event_name B-date O B-time I-time I-time I-time I-time
remind me to start supper this afternoon at five,calendar,calendar,calendar_set,calendar_set,O O O O B-event_name O B-time I-time I-time,O O O O B-meal_type B-timeofday B-timeofday O B-time
what's been happening for the last two months,news,news,news_query,news_query,O O O O O B-date I-date I-date,O O O O O B-time I-time I-time
give me an update on the election in one hour,calendar,news,calendar_set,news_query,O O O O O O B-event_name O B-time I-time,O O O O O O B-event_name O B-time I-time
new meeting add bill and malinda as attendees,calendar,calendar,calendar_set,calendar_set,O B-event_name O B-person I-person I-person O O,O B-event_name O B-person O B-person O O
what are the upcoming concerts in dallas,calendar,recommendation,calendar_query,recommendation_events,O O O O O O B-place_name,O O O O B-event_name O B-place_name
remove my appointment with my doctor on saturday please,calendar,calendar,calendar_remove,calendar_remove,O O B-event_name O B-relation I-relation O B-date O,O O B-event_name O O B-relation O B-date O
is there valet service at the event,calendar,transport,calendar_query,transport_traffic,O O B-relation I-relation O O O,O O O O O O O
what reminders do i have scheduled before noon tomorrow,calendar,calendar,calendar_query,calendar_query,O O O O O O O B-timeofday B-date,O O O O O O O I-time B-date
dorothy needs to talk to me about our divorce can you please set up a meeting as soon as i am available,calendar,calendar,calendar_set,calendar_set,B-person O O O O O O O B-event_name O O O O O O B-event_name O O O O O O,B-person O O O O O O O O O O O O O O B-event_name O O O O O O
on monday the twentieth i need to have a conversation with greg about our weekend trip,calendar,calendar,calendar_set,calendar_set,O B-date I-date I-date O O O O O B-event_name O B-person O B-event_name I-event_name I-event_name,O B-date I-date I-date O O O O O O O B-person O O B-event_name O
set a reminder in one hour for my bread to bake,calendar,calendar,calendar_set,calendar_set,O O O O B-time I-time O O B-event_name I-event_name I-event_name,O O O O B-time I-time O O O O O
set a reminder for the thirteenth that i have a lunch with dale,calendar,calendar,calendar_set,calendar_set,O O O O O B-date O O O O B-meal_type O O,O O O O O B-date O O O O B-meal_type O B-person
one thousand two hundred and thirty p. m. already you will have a meeting in ten mins,calendar,calendar,calendar_query,calendar_set,B-time I-time I-time I-time I-time I-time I-time I-time O O O O O B-event_name O B-time I-time,B-time I-time I-time I-time I-time I-time I-time I-time O O O O O B-event_name O I-time I-time
what date is it,calendar,datetime,calendar_query,datetime_query,O O O O,O O O O
please remind me to go to the post office,calendar,calendar,calendar_set,calendar_set,O O O O O O O O O,O O O O O O O B-event_name I-event_name
clear everything off my calendar for the rest of the year,calendar,calendar,calendar_remove,calendar_remove,O O O O O O O B-date I-date I-date I-date,O O O O O O B-date B-time I-date I-date I-date
please alert me a day before jeff's birthday,calendar,calendar,calendar_set,calendar_set,O O O B-date I-date I-date B-person B-event_name,O O O O O O B-person B-event_name
send me an alert and hour before my next appointment,calendar,calendar,calendar_set,calendar_set,O O O O O B-time I-time O O B-event_name,O O O O O O O O O B-event_name
thirty minute reminder on meeting for tuesday,calendar,calendar,calendar_set,calendar_set,B-time I-time O O O O B-date,O O O O B-event_name O B-date
save event for five p. m. to six p. m. on march eighteenth,calendar,calendar,calendar_set,calendar_set,O O O B-time I-time I-time I-time I-time I-time I-time O B-date I-date,O O O B-time I-time I-time O B-time I-time I-time O B-date I-date
remove next monday's meeting,calendar,calendar,calendar_remove,calendar_remove,O B-date I-date B-event_name,O O B-date B-event_name
yesterday at noontime in times square what was the protest about,news,news,news_query,news_query,B-date O B-time O B-place_name I-place_name O O O O O,B-date O B-timeofday O B-place_name I-place_name O O O B-news_topic O
i need to know more about the parade this weekend,general,calendar,general_quirky,calendar_query,O O O O O O O B-event_name B-date I-date,O O O O O O O B-event_name B-date I-date
i want to know more about the fair this weekend,general,calendar,general_quirky,calendar_query,O O O O O O O O B-date I-date,O O O O O O O B-event_name B-date I-date
is it wednesday,datetime,calendar,datetime_query,calendar_query,O O B-date,O O B-date
make march eighteen a repeating appointment for pearl's birthday,calendar,calendar,calendar_set,calendar_set,O B-date I-date O O B-event_name I-event_name I-event_name I-event_name,O B-date I-date O B-event_name B-event_name O B-person B-event_name
create reminder for laundry at eight p. m.,calendar,calendar,calendar_set,calendar_set,O O O O O B-time I-time I-time,O O O B-event_name O B-time I-time I-time
set a reminder every day at noon to take medication,calendar,calendar,calendar_set,calendar_set,O O O B-general_frequency I-general_frequency O B-timeofday O O O,O O O B-general_frequency I-general_frequency O B-timeofday O B-event_name B-event_name
tell me more about my events,general,calendar,general_quirky,calendar_query,O O O O O O,O O O O O O
tell me current events between yesterday and this morning,calendar,calendar,calendar_query,calendar_query,O O O O O B-date O O B-timeofday,O O O O O B-date O B-timeofday B-timeofday
please set lunch meeting at twelve p. m. for every wednesday in march,calendar,calendar,calendar_set,calendar_set,O O B-event_name I-event_name O B-time I-time I-time O B-general_frequency I-general_frequency O B-date,O O B-meal_type I-event_name O B-time I-time I-time O B-general_frequency I-general_frequency O B-date
please put event into my calendar and mark it as a repeating event,calendar,calendar,calendar_set,calendar_set,O O O O O O O O O O O O O,O O O O O O O O O O O B-event_name O
what are my plans for the month of may,calendar,calendar,calendar_query,calendar_query,O O O O O O B-date I-date I-date,O O O O O O O O B-date
add jane's birthday party for tomorrow two p. m. at one hundred and twenty three main on my calendar,calendar,calendar,calendar_set,calendar_set,O B-person B-event_name I-event_name O B-date B-time I-time I-time O B-place_name I-place_name I-place_name I-place_name I-place_name I-place_name O O O,O B-person B-event_name I-event_name O B-date B-time I-time I-time O B-time I-time I-time I-time I-time I-time O O O
meeting reminders from three to five,calendar,calendar,calendar_query,calendar_set,B-event_name O O B-time I-time I-time,B-event_name O O B-time I-time I-time
will you remind me of the dentist appointment i have in two hours,calendar,calendar,calendar_set,calendar_set,O O O O O O B-event_name I-event_name O O O B-time I-time,O O O O O O B-event_name I-event_name O O O I-time I-time
delete my meeting for two o'clock p. m. today,calendar,calendar,calendar_remove,calendar_remove,O O B-event_name O B-time I-time I-time I-time O,O O B-event_name O B-time O I-time I-time B-date
will you send a calendar invite out to james and alice for brunch at eleven am on tuesday,calendar,calendar,calendar_set,calendar_set,O O O O O O O O B-person I-person I-person O B-event_name O B-time I-time O B-date,O O O O O O O O B-person O B-person O B-event_name O B-time I-time O B-date
remind me to water my plants every tuesday thursday and saturday,calendar,calendar,calendar_set,calendar_set,O O O B-event_name I-event_name I-event_name B-general_frequency I-general_frequency I-general_frequency I-general_frequency I-general_frequency,O O O B-event_name I-event_name I-event_name B-general_frequency I-general_frequency B-date O B-date
can you remind me to order the turkey three weeks before thanksgiving,calendar,calendar,calendar_set,calendar_set,O O O O O B-event_name I-event_name I-event_name O O O O,O O O O O O O O B-date I-date I-date B-date
i want to make a note on my calendar for the event tomorrow at the library,calendar,calendar,calendar_set,calendar_set,O O O O O O O O O O O O B-date O B-place_name I-place_name,O O O O O O O O O O O O B-date O O B-place_name
within the past three months how many meetings did i have with mr. richards,calendar,calendar,calendar_query,calendar_query,O O B-time I-time I-time O O B-event_name O O O O B-person I-person,O O O I-time I-time O O B-event_name O O O O B-person I-person
is today saint patricks day,calendar,qa,calendar_query,qa_factoid,O B-date B-event_name I-event_name I-event_name,O O O I-person O
do i have a meeting on saturday march twenty fifth,calendar,calendar,calendar_query,calendar_query,O O O O B-event_name O B-date I-date I-date I-date,O O O O B-event_name O B-date B-date I-date I-date
is jessica's birthday on april twelfth,calendar,calendar,calendar_query,calendar_query,O B-person O O B-date I-date,O B-person B-event_name O B-date I-date
do i have a meeting this afternoon,calendar,calendar,calendar_query,calendar_query,O O O O B-event_name B-timeofday I-timeofday,O O O O B-event_name B-timeofday B-timeofday
info of the upcoming events,recommendation,calendar,recommendation_events,calendar_query,O O O O O,O O O O O
what do i have scheduled for the nineteenth at two p. m.,calendar,calendar,calendar_query,calendar_query,O O O O O O B-date I-date O B-time I-time I-time,O O O O O O O B-date O B-time I-time I-time
do i have anything set for the fourth of july this year,calendar,calendar,calendar_query,calendar_query,O O O O O O B-date I-date I-date I-date I-date I-date,O O O O O O O B-date I-date I-date I-date I-date
